apple,Buy organic; buy the most colorful and/or red. Buy local.
pineapple,Buy ripe (they usually are). Look for crown leaves that are deep green with no signs of fading and browning. You should not be able to plug a leaf.
plum,"Look for red, purple, blue or black plums. Buy ripe plums (they have a slight give), generally in July. Try to get tree-ripen fruit."
potato,"Look for red, blue or black skins and deeply colored flesh; avoid young potatoes."
pumkin,"Buy completely developed, whole pumpkin fruit instead of its sections. Look for mature fruit that features fine woody note on tapping, heavy in hand and stout stem. Avoid the one with wrinkled surface, cuts and bruises."
raspberries,"Buy local; reject if they have lost shape or have signs of leaking juice.Frozen raspberries are almost as nutritious."
red cabbage,Look for compact heads that are firm and heavy for their size; they need to squeak when rubbed to another head.
red onion,"The smaller, the better. Round and oblong onions are better. Look for firm onions, intact outer skin. Avoid lighter colors."
scallion,"Buy only local, as soon as harvested."
strawberries,"Completely red and with a red gloss. Reject if the container has damaged, leaking or moldy fruit. Buy local and organic in the US."
sweet potato,"Look for the deeper flesh colors; if you don't know the color of the flesh, go for the darkest skin."
watermelon,"Try to see the inside (halves are good) and look for dark red. If you cannot see the inside: look for one starting to lose its gloss. Examine the Ågground spotÅh; it should be yellow, not green or white. Tap the watermelon: hollow sound rather than flat thump. Look for small watermelons."
chia seeds,
chicken,
couscous,
egg,
fish,
frozen veggies,
fruit,
beef,Lean
bread,
canned clams,No salt or anything added; in water
canned garbanzo,No salt or anything added; in water
canned tomato,No salt or anything added; in water
canned tuna,No salt or anything added; in water
ginger,
green lentils,"Dry; if not, no salt or anything added"
green pepper,"Buy peppers that are dark green all over; reject wrinkle, dented peppers or those that have darl spots or a wilted stem."
ground beef,90% or more of lean meat
milk,Non-fat (skim milk)
mozarella,
nuts,"Non-salted, nothing added to them"
oatmeal,"Whole oats, with no additives"
parmesan,
pasta,Whole -wheat pasta
pinto beans,"Dry; if not, no salt or anything added"
pork,As lean as possible
protein,
red lentils,"Dry; if not, no salt or anything added"
rice,Whole-grain; moderate length
spinach,With the roots; not cut; lush green and must look fresh
tofu,
